Scan number,Frame,Detector horiz (x is positive left) in mm,Detector vertical (y is positive up) in mm,Detector trans x (mm),Detector trans y (mm),Detector trans x (px),Detector trans y (px) ,Beam centre horiz in px,Beam centre vertical in px,Pixel size in mm
109688,1,841,33.995,83.998,-17.003,488.360465116279,-98.8546511627907,1234.13046511628,592.945348837209,
109689,1,803,33.995,45.998,-17.003,267.43023255814,-98.8546511627907,1013.20023255814,592.945348837209,
109690,1,793,33.995,35.998,-17.003,209.290697674419,-98.8546511627907,955.060697674419,592.945348837209,
109691,1,756,33.995,-1.00199999999995,-17.003,-5.82558139534856,-98.8546511627907,739.944418604651,592.945348837209,
109692,1,718,33.995,-39.002,-17.003,-226.755813953488,-98.8546511627907,519.014186046512,592.945348837209,
109693,1,708,33.995,-49.002,-17.003,-284.895348837209,-98.8546511627907,460.874651162791,592.945348837209,
109694,1,671,33.995,-86.002,-17.003,-500.011627906977,-98.8546511627907,245.758372093023,592.945348837209,
109695,1,633,33.995,-124.002,-17.003,-720.941860465116,-98.8546511627907,24.8281395348839,592.945348837209,
109696,2,878,45.998,120.998,-5,703.476744186047,-29.0697674418605,1449.24674418605,662.73023255814,
109697,3,841,45.998,83.998,-5,488.360465116279,-29.0697674418605,1234.13046511628,662.73023255814,
109698,4,803,45.998,45.998,-5,267.43023255814,-29.0697674418605,1013.20023255814,662.73023255814,
109699,5,793,45.998,35.998,-5,209.290697674419,-29.0697674418605,955.060697674419,662.73023255814,
109700,6,756,45.998,-1.00199999999995,-5,-5.82558139534856,-29.0697674418605,739.944418604651,662.73023255814,
109701,7,718,45.998,-39.002,-5,-226.755813953488,-29.0697674418605,519.014186046512,662.73023255814,
109702,8,708,45.998,-49.002,-5,-284.895348837209,-29.0697674418605,460.874651162791,662.73023255814,
109703,9,671,45.998,-86.002,-5,-500.011627906977,-29.0697674418605,245.758372093023,662.73023255814,
109704,10,633,45.998,-124.002,-5,-720.941860465116,-29.0697674418605,24.8281395348839,662.73023255814,
